4960
1,32407,-284
2,32423,-251
3,32391,-263
4,32279,-283
5,32295,-277
6,32263,-256
7,32263,-259
8,32135,-264
9,31975,-270
10,31799,-259
11,31655,-260
12,31303,-261
13,31047,-269
14,30599,-269
15,29975,-259
16,29063,-259
17,28038,-268
18,26758,-273
19,24678,-268
20,22565,-260
21,19204,-267
22,15059,-266
23,10770,-270
24,7553,-258
25,4177,-275
26,2048,-262
27,1488,-258
28,3136,-266
29,6545,-266
30,10626,-273
31,14995,-256
32,19716,-273
33,23429,-271
34,26326,-257
35,28470,-248
36,29991,-284
37,30919,-272
38,31511,-249
39,32391,-295
40,32551,-251
41,32599,-273
42,32711,-264
43,32808,-246
44,32808,-284
45,32824,-281
46,32808,-251
47,32840,-257
48,32776,-276
49,32792,-251
50,32792,-274
51,32711,-237
52,32647,-265
53,32679,-254
54,32647,-280
55,32679,-244
56,32647,-279
57,32647,-264
58,32615,-274
59,32583,-223
60,32615,-296
61,32583,-255
62,32583,-254
63,32599,-264
64,32535,-227
65,32567,-239
66,32551,-260
67,32599,-266
68,32551,-221
69,32567,-277
70,32519,-237
71,32567,-272
72,32551,-237
73,32551,-271
74,32487,-267
75,32519,-274
76,32535,-237
77,32583,-233
78,32519,-267
79,32535,-264
80,32471,-255
81,32583,-247
82,32455,-258
83,32535,-248
84,32519,-251
85,32503,-257
86,32551,-250
87,32535,-257
88,32487,-238
89,32551,-269
90,32535,-246
91,32519,-244
92,32567,-241
93,32519,-260
94,32535,-241
95,32535,-237
96,32551,-266
97,32567,-241
98,32519,-230
99,32535,-261
100,32519,-259
101,32487,-273
102,32487,-264
103,32551,-228
104,32487,-262
105,32519,-276
106,32455,-254
107,32423,-240
108,32439,-261
109,32439,-274
110,32375,-288
111,32391,-249
112,32231,-268
113,32279,-258
114,32183,-276
115,32023,-258
116,31911,-248
117,31751,-257
118,31543,-281
119,31207,-262
120,30903,-255
121,30343,-268
122,29623,-260
123,28662,-272
124,27606,-264
125,26006,-276
126,24037,-261
127,21077,-270
128,17364,-275
129,13075,-262
130,9186,-263
131,6033,-261
132,3088,-273
133,1584,-264
134,2064,-265
135,4529,-268
136,8161,-265
137,11922,-271
138,16596,-259
139,21093,-271
140,24790,-262
141,27446,-262
142,29191,-253
143,30407,-269
144,31175,-254
145,31751,-263
146,32327,-253
147,32487,-285
148,32599,-238
149,32711,-283
150,32711,-264
151,32824,-268
152,32856,-233
153,32824,-281
154,32840,-258
155,32792,-280
156,32856,-252
157,32679,-273
158,32792,-268
159,32679,-287
160,32647,-242
161,32695,-255
162,32647,-269
163,32679,-300
164,32647,-246
165,32615,-265
166,32599,-261
167,32631,-221
168,32615,-283
169,32551,-248
170,32567,-253
171,32647,-212
172,32583,-295
173,32535,-242
174,32599,-260
175,32583,-255
176,32519,-294
177,32535,-244
178,32551,-242
179,32551,-256
180,32551,-231
181,32567,-275
182,32567,-232
183,32535,-284
184,32535,-247
185,32535,-252
186,32535,-262
187,32535,-241
188,32535,-241
189,32519,-245
190,32535,-260
191,32567,-246
192,32535,-251
193,32519,-249
194,32535,-252
195,32551,-254
196,32487,-242
197,32519,-253
198,32535,-243
199,32519,-259
200,32519,-250
201,32487,-252
202,32551,-256
203,32551,-252
204,32519,-251
205,32519,-248
206,32551,-262
207,32519,-271
208,32503,-230
209,32519,-237
210,32583,-263
211,32583,-264
212,32487,-274
213,32519,-248
214,32455,-269
215,32391,-276
216,32455,-247
217,32391,-237
218,32343,-259
219,32311,-261
220,32263,-262
221,32183,-254
222,32071,-265
223,31879,-277
224,31751,-262
225,31559,-260
226,31255,-264
227,30919,-267
228,30359,-264
229,29671,-261
230,28759,-275
231,27734,-261
232,26086,-259
233,24101,-274
234,21125,-271
235,17444,-267
236,13363,-264
237,9426,-272
238,6241,-265
239,3216,-273
240,1616,-269
241,2112,-263
242,4337,-270
243,7921,-266
244,11698,-266
245,16388,-275
246,21061,-255
247,24742,-258
248,27398,-267
249,29127,-273
250,30311,-250
251,31127,-275
252,31719,-255
253,32135,-258
254,32359,-255
255,32551,-283
256,32679,-252
257,32615,-280
258,32711,-244
259,32824,-275
260,32824,-248
261,32711,-270
262,32776,-235
263,32808,-270
264,32792,-273
265,32776,-259
266,32711,-237
267,32776,-279
268,32679,-244
269,32663,-279
270,32663,-269
271,32679,-231
272,32695,-228
273,32647,-290
274,32599,-256
275,32679,-243
276,32583,-270
277,32583,-241
278,32599,-300
279,32583,-226
280,32599,-256
281,32567,-223
282,32583,-289
283,32519,-271
284,32487,-226
285,32551,-259
286,32583,-232
287,32535,-265
288,32503,-248
289,32551,-237
290,32535,-280
291,32567,-242
292,32519,-264
293,32519,-243
294,32551,-265
295,32551,-249
296,32519,-250
297,32519,-255
298,32535,-247
299,32567,-252
300,32535,-250
