70,21.81,23.96,26.26,3248,-3.4,3.4
71,21.2,23.31,25.57,3248,-3.4,3.4
72,20.61,22.68,24.9,3249,-3.5,3.5
73,20.04,22.07,24.25,3249,-3.5,3.5
74,19.49,21.48,23.62,3249,-3.6,3.6
75,18.95,20.91,23.01,3249,-3.6,3.6
76,18.44,20.36,22.42,3249,-3.7,3.7
77,17.94,19.82,21.85,3249,-3.7,3.7
78,17.45,19.3,21.29,3249,-3.8,3.8
79,16.99,18.8,20.76,3249,-3.8,3.8
80,16.54,18.32,20.24,3250,-3.9,3.9
81,16.1,17.84,19.73,3250,-3.9,3.9
82,15.67,17.39,19.24,3250,-4,4
83,15.26,16.95,18.77,3250,-4,4
84,14.87,16.52,18.31,3250,-4.1,4.1
85,14.48,16.1,17.86,3250,-4.1,4.1
86,14.11,15.7,17.43,3250,-4.2,4.2
87,13.75,15.31,17.01,3250,-4.2,4.2
88,13.4,14.93,16.6,3250,-4.3,4.3
89,13.06,14.57,16.2,3250,-4.3,4.4
90,12.73,14.21,15.82,3250,-4.4,4.4
91,12.41,13.86,15.45,3250,-4.5,4.5
92,12.1,13.53,15.08,3250,-4.5,4.5
93,11.8,13.2,14.73,3250,-4.6,4.6
94,11.51,12.89,14.39,3250,-4.6,4.6
95,11.23,12.58,14.06,3251,-4.7,4.7
96,10.96,12.28,13.74,3251,-4.7,4.7
97,10.69,11.99,13.42,3251,-4.8,4.8
98,10.43,11.71,13.12,3251,-4.8,4.9
99,10.18,11.44,12.82,3251,-4.9,4.9
100,9.94,11.18,12.53,3251,-4.9,5
101,9.71,10.92,12.25,3251,-5,5
102,9.48,10.67,11.98,3251,-5.1,5.1
103,9.25,10.43,11.72,3251,-5.1,5.1
104,9.04,10.19,11.46,3251,-5.2,5.2
105,8.83,9.96,11.21,3251,-5.2,5.3
106,8.63,9.74,10.96,3251,-5.3,5.3
107,8.43,9.52,10.73,3251,-5.3,5.4
108,8.23,9.31,10.49,3251,-5.4,5.4
109,8.05,9.1,10.27,3251,-5.5,5.5
110,7.87,8.9,10.05,3251,-5.5,5.6
111,7.69,8.71,9.84,3251,-5.6,5.6
112,7.52,8.52,9.63,3251,-5.6,5.7
113,7.35,8.33,9.43,3251,-5.7,5.7
114,7.19,8.16,9.23,3251,-5.7,5.8
